Iteration, Request to decryption time
1464, 410344
1465, 478801
1466, 417240
1467, 422113
1468, 419442
1469, 421015
1470, 436111
1471, 438849
1472, 422471
1473, 420178
1474, 446068
1475, 439002
1476, 419682
1477, 463945
1478, 422905
1479, 417821
1480, 420662
1481, 436376
1482, 443539
1483, 422358
1484, 442781
1485, 416949
1486, 421959
1487, 421181
1488, 417098
1489, 500308
1490, 411980
1491, 425433
1492, 420010
1493, 410188
1494, 448419
1495, 454538
1496, 418807
1497, 435722
1498, 437658
1499, 436554
1500, 412295
1501, 487281
1502, 432919
1503, 421884
1504, 3784668
1505, 428822
1506, 424307
1507, 440907
1508, 415185
1509, 416027
1510, 424147
1511, 416677
1512, 417654
1513, 518065
1514, 525431
1515, 456628
1516, 428364
1517, 419087
1518, 423770
1519, 431788
1520, 427015
1521, 419528
1522, 414942
1523, 423748
1524, 432566
1525, 455911
1526, 481884
1527, 422614
1528, 428655
1529, 421951
1530, 422096
1531, 430121
1532, 423141
1533, 411522
1534, 417731
1535, 416799
1536, 424041
1537, 465165
1538, 3361284
1539, 432485
1540, 424746
1541, 438794
1542, 434133
1543, 538709
1544, 426781
1545, 420177
1546, 431006
1547, 419440
1548, 449866
1549, 550331
1550, 417696
1551, 433735
1552, 410789
1553, 432085
1554, 419875
1555, 489577
1556, 407261
1557, 421863
1558, 425955
1559, 425453
1560, 413657
1561, 478147
1562, 428831
1563, 433601
1564, 437076
1565, 433005
1566, 433564
1567, 740557
1568, 435787
1569, 422820
1570, 423037
1571, 411664
1572, 421788
1573, 464312
1574, 5496462
1575, 431759
1576, 430485
1577, 424455
1578, 424588
1579, 426887
1580, 418563
1581, 413793
1582, 417098
1583, 424218
1584, 426117
1585, 459719
1586, 799859
1587, 442665
1588, 427980
1589, 425023
1590, 423592
1591, 419392
1592, 429372
1593, 409217
1594, 438386
1595, 416291
1596, 457902
1597, 474137
1598, 431794
1599, 421672
1600, 424092
1601, 425593
1602, 422485
1603, 433392
1604, 419551
1605, 451015
1606, 436622
1607, 423600
1608, 447987
1609, 476794
1610, 412756
1611, 415779
1612, 421434
1613, 417050
1614, 422815
1615, 437516
1616, 414806
1617, 414166
1618, 435415
1619, 423595
1620, 413976
1621, 462734
1622, 412812
1623, 434590
1624, 424125
1625, 2382658
1626, 429671
1627, 428574
1628, 549447
1629, 427062
1630, 422911
1631, 455693
1632, 426097
1633, 493493
1634, 439472
1635, 418966
1636, 419586
1637, 427782
1638, 434994
1639, 413463
1640, 1847225
1641, 423364
1642, 418972
1643, 435932
1644, 435930
1645, 446663
1646, 424356
1647, 424622
1648, 423719
1649, 435669
1650, 441500
1651, 458294
1652, 410439
1653, 423715
1654, 421292
1655, 407203
1656, 416667
1657, 484834
1658, 422165
1659, 456136
1660, 429063
1661, 424529
1662, 418102
1663, 432962
1664, 419341
1665, 417273
1666, 436140
1667, 413306
1668, 431554
1669, 462632
1670, 436695
1671, 431345
1672, 421504
1673, 425724
1674, 442535
1675, 441636
1676, 441600
1677, 456688
1678, 420577
1679, 426156
1680, 422392
1681, 459180
1682, 427009
1683, 426218
1684, 417423
1685, 2188735
1686, 416359
1687, 460394
1688, 428060
1689, 410737
1690, 424357
1691, 413179
1692, 413968
1693, 574244
1694, 435510
1695, 4605302
1696, 433154
1697, 431443
1698, 432138
1699, 429789
1700, 409910
